iter	Passed	Remaining
610	8562	5451
611	8574	5436
612	8586	5420
613	8598	5405
614	8610	5390
615	8621	5374
616	8632	5358
617	8644	5343
618	8656	5328
619	8668	5312
620	8680	5297
621	8691	5281
622	8703	5266
623	8714	5251
624	8726	5235
625	8738	5220
626	8750	5205
627	8762	5190
628	8774	5175
629	8786	5160
630	8798	5145
631	8809	5129
632	8820	5113
633	8832	5098
634	8843	5083
635	8856	5068
636	8867	5053
637	8880	5038
638	8892	5023
639	8904	5008
640	8915	4993
641	8927	4978
642	8939	4963
643	8951	4948
644	8962	4933
645	8974	4917
646	8986	4902
647	8998	4887
648	9009	4872
649	9021	4857
650	9033	4842
651	9045	4827
652	9057	4812
653	9069	4798
654	9081	4783
655	9093	4768
656	9104	4753
657	9117	4738
658	9128	4723
659	9141	4709
660	9153	4694
661	9166	4679
662	9180	4666
663	9193	4652
664	9206	4637
665	9218	4622
666	9230	4608
667	9242	4593
668	9255	4579
669	9266	4564
670	9278	4549
671	9291	4535
672	9304	4521
673	9316	4506
674	9328	4491
675	9340	4476
676	9353	4462
677	9365	4448
678	9378	4433
679	9391	4419
680	9403	4404
681	9417	4391
682	9430	4376
683	9442	4362
684	9455	4347
685	9466	4333
686	9478	4318
687	9490	4303
688	9502	4289
689	9516	4275
690	9528	4260
691	9541	4246
692	9552	4231
693	9564	4217
694	9576	4202
695	9589	4188
696	9602	4174
697	9615	4160
698	9627	4145
699	9639	4131
700	9651	4116
701	9664	4102
702	9676	4087
703	9688	4073
704	9700	4058
705	9712	4044
706	9724	4030
707	9736	4015
708	9748	4001
709	9760	3986
710	9773	3972
711	9786	3958
712	9798	3944
713	9811	3930
714	9824	3916
715	9837	3902
716	9849	3887
717	9861	3873
718	9873	3858
719	9885	3844
720	9897	3830
721	9909	3815
722	9921	3801
723	9933	3786
724	9945	3772
725	9957	3757
726	9968	3743
727	9980	3729
728	9992	3714
729	10004	3700
730	10015	3685
731	10027	3671
732	10039	3656
733	10051	3642
734	10063	3628
735	10075	3613
736	10087	3599
737	10098	3585
738	10110	3570
739	10122	3556
740	10134	3542
741	10146	3528
742	10157	3513
743	10169	3499
744	10181	3484
745	10193	3470
746	10204	3456
747	10216	3441
748	10229	3427
749	10242	3414
750	10256	3400
751	10269	3386
752	10283	3373
753	10297	3359
754	10311	3345
755	10324	3332
756	10338	3318
757	10351	3304
758	10363	3290
759	10375	3276
760	10387	3262
761	10399	3248
762	10410	3233
763	10422	3219
764	10433	3205
765	10445	3190
766	10457	3176
767	10468	3162
768	10479	3148
769	10491	3133
