iter	Passed	Remaining
537	9760	8381
538	9776	8361
539	9791	8341
540	9807	8320
541	9823	8301
542	9840	8281
543	9854	8260
544	9870	8240
545	9886	8220
546	9909	8206
547	9923	8184
548	9939	8165
549	9956	8146
550	9973	8127
551	9989	8107
552	10005	8087
553	10021	8068
554	10038	8048
555	10053	8028
556	10070	8009
557	10086	7989
558	10102	7970
559	10118	7950
560	10135	7931
561	10150	7911
562	10167	7891
563	10193	7880
564	10212	7862
565	10290	7890
566	10406	7946
567	10425	7929
568	10448	7914
569	10471	7899
570	10492	7882
571	10510	7864
572	10533	7849
573	10557	7835
574	10585	7824
575	10606	7807
576	10626	7790
577	10649	7775
578	10668	7757
579	10687	7738
580	10704	7720
581	10722	7701
582	10741	7683
583	10761	7665
584	10785	7650
585	10808	7635
586	10830	7620
587	10850	7602
588	10881	7592
589	10912	7583
590	10931	7565
591	10950	7547
592	10968	7528
593	10991	7512
594	11009	7493
595	11027	7474
596	11044	7455
597	11062	7436
598	11082	7419
599	11103	7402
600	11121	7383
601	11144	7367
602	11161	7348
603	11182	7331
604	11200	7312
605	11216	7292
606	11232	7272
607	11250	7253
608	11266	7233
609	11283	7214
610	11301	7195
611	11318	7176
612	11336	7156
613	11352	7137
614	11368	7117
615	11384	7096
616	11401	7077
617	11418	7057
618	11433	7037
619	11450	7017
620	11466	6998
621	11482	6977
622	11499	6958
623	11519	6941
624	11536	6922
625	11552	6901
626	11569	6882
627	11586	6863
628	11601	6842
629	11617	6823
630	11633	6802
631	11650	6783
632	11666	6763
633	11682	6744
634	11698	6724
635	11714	6704
636	11730	6684
637	11747	6665
638	11763	6645
639	11779	6625
640	11795	6606
641	11812	6587
642	11830	6568
643	11846	6548
644	11863	6529
645	11879	6510
646	11895	6490
647	11910	6470
648	11926	6450
649	11942	6430
650	11959	6411
651	11975	6391
652	11991	6371
653	12007	6352
654	12025	6333
655	12042	6314
656	12059	6295
657	12074	6275
658	12092	6257
659	12109	6238
660	12125	6218
661	12141	6199
662	12156	6179
663	12175	6161
664	12192	6141
665	12209	6122
666	12225	6103
667	12242	6084
668	12258	6065
669	12274	6045
670	12290	6025
671	12306	6006
672	12329	5990
673	12345	5971
674	12360	5951
675	12375	5931
676	12389	5911
677	12406	5892
678	12421	5872
679	12436	5852
680	12452	5832
681	12467	5813
682	12483	5793
683	12499	5774
684	12515	5755
685	12530	5735
